interaction_id,customer_id,platform,interaction_type,interaction_date,engagement_score,response_time_hours
INT000454,CUST061,Instagram,Follow,2023-07-22,3,
INT000455,CUST003,WhatsApp,Order,2023-07-25,6,
INT000456,CUST063,Instagram,Comment,2023-07-18,4,
INT000457,CUST083,Instagram,Follow,2023-07-08,1,
INT000458,CUST044,Instagram,Follow,2023-07-09,6,
INT000459,CUST279,Instagram,Save,2023-07-21,1,
INT000460,CUST128,Tokopedia,Review,2023-07-16,5,
INT000461,CUST274,Tokopedia,Rating,2023-07-18,8,
INT000462,CUST161,WhatsApp,Inquiry,2023-07-19,9,16.0
INT000463,CUST108,WhatsApp,Message,2023-07-21,1,7.0
INT000464,CUST019,Instagram,Comment,2023-07-09,4,
INT000465,CUST069,WhatsApp,Feedback,2023-07-06,10,
INT000466,CUST184,Tokopedia,Rating,2023-07-23,10,
INT000467,CUST217,Instagram,Follow,2023-07-08,5,
INT000468,CUST196,WhatsApp,Response,2023-07-12,8,
INT000469,CUST043,Tokopedia,Wishlist,2023-07-22,3,
INT000470,CUST275,Instagram,Like,2023-07-20,5,
INT000471,CUST099,WhatsApp,Inquiry,2023-07-18,9,19.0
INT000472,CUST215,Instagram,Share,2023-08-24,7,
INT000473,CUST195,Instagram,Follow,2023-08-06,2,
INT000474,CUST139,Instagram,Follow,2023-08-02,9,
INT000475,CUST209,Instagram,Share,2023-08-19,2,
INT000476,CUST186,Tokopedia,Chat,2023-08-03,4,
INT000477,CUST141,Instagram,Like,2023-08-11,4,
INT000478,CUST194,Instagram,Like,2023-08-04,9,
INT000479,CUST157,WhatsApp,Order,2023-08-02,9,
INT000480,CUST179,WhatsApp,Feedback,2023-08-26,5,
INT000481,CUST283,Tokopedia,Purchase,2023-08-02,1,
INT000482,CUST088,Tokopedia,Wishlist,2023-08-04,6,
INT000483,CUST273,WhatsApp,Feedback,2023-08-27,7,
INT000484,CUST245,WhatsApp,Response,2023-08-07,1,
INT000485,CUST263,WhatsApp,Response,2023-08-20,3,
INT000486,CUST074,Tokopedia,Purchase,2023-08-22,5,
INT000487,CUST028,WhatsApp,Inquiry,2023-08-21,4,21.0
INT000488,CUST215,WhatsApp,Order,2023-08-04,8,
INT000489,CUST182,Tokopedia,Purchase,2023-08-08,5,
INT000490,CUST220,WhatsApp,Response,2023-08-08,2,
INT000491,CUST157,Tokopedia,Chat,2023-08-26,2,
INT000492,CUST041,Instagram,Comment,2023-08-01,3,
INT000493,CUST295,Instagram,Like,2023-08-22,5,
INT000494,CUST284,Tokopedia,Review,2023-08-12,9,
INT000495,CUST070,Tokopedia,Wishlist,2023-08-15,9,
INT000496,CUST064,Tokopedia,Review,2023-08-18,4,
INT000497,CUST004,WhatsApp,Order,2023-08-21,9,
INT000498,CUST177,Instagram,Follow,2023-08-20,10,
INT000499,CUST022,WhatsApp,Order,2023-08-04,9,
INT000500,CUST116,Instagram,Like,2023-08-10,3,
INT000501,CUST264,Tokopedia,Review,2023-08-12,8,
INT000502,CUST195,Instagram,Share,2023-08-02,6,
INT000503,CUST128,WhatsApp,Message,2023-08-08,5,15.0
INT000504,CUST151,Tokopedia,Rating,2023-07-30,10,
INT000505,CUST202,Instagram,Share,2023-08-28,9,
INT000506,CUST019,Tokopedia,Purchase,2023-08-26,8,
INT000507,CUST030,Tokopedia,Review,2023-08-18,8,
INT000508,CUST169,Tokopedia,Chat,2023-08-02,1,
INT000509,CUST180,WhatsApp,Response,2023-08-11,6,
INT000510,CUST005,Instagram,Save,2023-08-14,4,
INT000511,CUST044,WhatsApp,Feedback,2023-08-27,3,
INT000512,CUST211,Instagram,Save,2023-07-30,3,
INT000513,CUST129,Instagram,Save,2023-08-11,6,
INT000514,CUST154,Tokopedia,Wishlist,2023-08-27,3,
INT000515,CUST275,Tokopedia,Review,2023-08-13,8,
INT000516,CUST083,Instagram,Share,2023-08-22,7,
INT000517,CUST003,Tokopedia,Rating,2023-08-02,4,
INT000518,CUST146,Instagram,Comment,2023-08-11,7,
INT000519,CUST170,Instagram,Comment,2023-08-20,4,
INT000520,CUST246,WhatsApp,Inquiry,2023-08-02,7,15.0
INT000521,CUST282,Tokopedia,Rating,2023-08-09,7,
INT000522,CUST257,WhatsApp,Order,2023-08-03,2,
INT000523,CUST056,Instagram,Comment,2023-08-03,6,
INT000524,CUST257,Instagram,Comment,2023-07-31,6,
INT000525,CUST220,WhatsApp,Message,2023-08-12,8,9.0
INT000526,CUST145,Tokopedia,Review,2023-08-23,7,
INT000527,CUST127,WhatsApp,Response,2023-08-22,9,
INT000528,CUST096,Instagram,Share,2023-08-23,2,
INT000529,CUST135,WhatsApp,Response,2023-08-20,7,
INT000530,CUST102,Tokopedia,Review,2023-08-21,9,
INT000531,CUST093,Instagram,Follow,2023-08-19,3,
INT000532,CUST118,Instagram,Comment,2023-08-11,1,
INT000533,CUST141,Instagram,Comment,2023-08-12,1,
INT000534,CUST103,Instagram,Like,2023-08-11,7,
INT000535,CUST269,Tokopedia,Rating,2023-08-06,6,
INT000536,CUST219,Tokopedia,Review,2023-08-15,7,
INT000537,CUST027,Tokopedia,Review,2023-08-07,6,
INT000538,CUST144,Tokopedia,Wishlist,2023-08-06,6,
INT000539,CUST025,Instagram,Like,2023-07-30,1,
INT000540,CUST165,Instagram,Share,2023-08-14,5,
INT000541,CUST052,Tokopedia,Rating,2023-08-07,8,
INT000542,CUST187,Tokopedia,Chat,2023-08-02,2,
INT000543,CUST007,WhatsApp,Feedback,2023-08-23,3,
INT000544,CUST170,Tokopedia,Chat,2023-08-22,10,
INT000545,CUST271,WhatsApp,Inquiry,2023-08-06,5,6.0
INT000546,CUST300,Tokopedia,Review,2023-08-27,2,
INT000547,CUST067,WhatsApp,Feedback,2023-08-02,1,
INT000548,CUST098,Instagram,Save,2023-08-28,2,
INT000549,CUST039,WhatsApp,Feedback,2023-08-09,5,
INT000550,CUST243,Instagram,Follow,2023-08-22,3,
INT000551,CUST023,Instagram,Comment,2023-08-12,9,
INT000552,CUST130,WhatsApp,Inquiry,2023-08-27,6,14.0
INT000553,CUST061,Tokopedia,Review,2023-08-14,7,
INT000554,CUST269,WhatsApp,Message,2023-08-04,10,8.0
INT000555,CUST067,Tokopedia,Review,2023-08-17,1,
INT000556,CUST098,WhatsApp,Order,2023-08-14,9,
INT000557,CUST263,Instagram,Comment,2023-08-13,9,
INT000558,CUST197,WhatsApp,Order,2023-08-11,10,
INT000559,CUST140,Instagram,Comment,2023-07-30,3,
INT000560,CUST293,Instagram,Follow,2023-08-21,1,
INT000561,CUST263,Tokopedia,Purchase,2023-08-21,9,
INT000562,CUST133,Tokopedia,Rating,2023-08-08,5,
INT000563,CUST283,Instagram,Comment,2023-08-06,1,
INT000564,CUST274,Instagram,Share,2023-07-31,3,
INT000565,CUST143,Instagram,Share,2023-08-26,1,
INT000566,CUST128,Instagram,Follow,2023-08-02,1,
INT000567,CUST178,WhatsApp,Feedback,2023-08-10,6,
INT000568,CUST043,WhatsApp,Feedback,2023-08-07,3,
INT000569,CUST210,WhatsApp,Inquiry,2023-08-09,1,20.0
INT000570,CUST006,Tokopedia,Rating,2023-08-22,5,
INT000571,CUST091,Tokopedia,Review,2023-08-16,10,
INT000572,CUST055,WhatsApp,Order,2023-08-19,5,
INT000573,CUST283,Instagram,Save,2023-08-06,6,
INT000574,CUST138,Instagram,Follow,2023-08-19,7,
INT000575,CUST080,Tokopedia,Rating,2023-08-22,7,
INT000576,CUST189,Instagram,Save,2023-08-01,8,
INT000577,CUST093,Tokopedia,Rating,2023-08-25,3,
INT000578,CUST097,WhatsApp,Order,2023-08-22,3,
INT000579,CUST145,Instagram,Share,2023-08-04,3,
INT000580,CUST202,WhatsApp,Feedback,2023-08-05,2,
INT000581,CUST074,Instagram,Save,2023-08-06,8,
INT000582,CUST207,Instagram,Follow,2023-08-03,1,
INT000583,CUST052,Tokopedia,Wishlist,2023-07-30,2,
INT000584,CUST007,WhatsApp,Message,2023-08-03,4,24.0
INT000585,CUST043,Tokopedia,Rating,2023-08-19,10,
INT000586,CUST007,Instagram,Like,2023-08-16,6,
INT000587,CUST044,Instagram,Comment,2023-08-14,10,
INT000588,CUST228,Instagram,Share,2023-08-09,8,
INT000589,CUST080,Instagram,Like,2023-08-16,5,
INT000590,CUST279,Instagram,Like,2023-08-25,1,
INT000591,CUST053,WhatsApp,Inquiry,2023-08-02,9,13.0
INT000592,CUST001,Instagram,Like,2023-09-05,7,
INT000593,CUST198,Instagram,Share,2023-09-18,5,
INT000594,CUST116,WhatsApp,Order,2023-09-19,2,
INT000595,CUST252,Instagram,Like,2023-09-05,2,
INT000596,CUST145,Tokopedia,Review,2023-09-17,6,
INT000597,CUST061,Tokopedia,Review,2023-09-26,1,
INT000598,CUST078,Instagram,Save,2023-09-14,6,
INT000599,CUST093,WhatsApp,Order,2023-09-02,5,
INT000600,CUST147,Tokopedia,Review,2023-09-06,8,
INT000601,CUST189,Tokopedia,Review,2023-09-23,1,
INT000602,CUST077,WhatsApp,Response,2023-09-08,3,
INT000603,CUST200,Tokopedia,Wishlist,2023-09-24,2,
INT000604,CUST058,WhatsApp,Order,2023-09-21,5,
INT000605,CUST075,Instagram,Share,2023-09-02,3,
INT000606,CUST198,Tokopedia,Chat,2023-09-13,7,
INT000607,CUST247,WhatsApp,Order,2023-09-17,6,
INT000608,CUST071,WhatsApp,Response,2023-09-10,7,
INT000609,CUST282,Tokopedia,Purchase,2023-09-15,8,
INT000610,CUST273,WhatsApp,Response,2023-09-10,2,
INT000611,CUST298,WhatsApp,Order,2023-09-14,10,
INT000612,CUST113,WhatsApp,Message,2023-09-05,6,0.0
INT000613,CUST105,Instagram,Share,2023-09-15,8,
INT000614,CUST069,Instagram,Like,2023-09-27,6,
INT000615,CUST185,Instagram,Share,2023-09-12,3,
INT000616,CUST283,Tokopedia,Rating,2023-09-04,4,
INT000617,CUST029,WhatsApp,Response,2023-09-01,3,
INT000618,CUST194,WhatsApp,Message,2023-09-20,7,11.0
INT000619,CUST028,WhatsApp,Message,2023-09-19,10,2.0
INT000620,CUST245,WhatsApp,Response,2023-08-29,3,
INT000621,CUST188,Instagram,Like,2023-09-05,2,
INT000622,CUST007,WhatsApp,Order,2023-09-02,3,
INT000623,CUST241,WhatsApp,Response,2023-09-21,9,
INT000624,CUST154,Tokopedia,Wishlist,2023-09-21,6,
INT000625,CUST228,WhatsApp,Message,2023-09-07,2,4.0
INT000626,CUST031,WhatsApp,Message,2023-09-17,3,16.0
INT000627,CUST083,Instagram,Save,2023-09-24,7,
INT000628,CUST233,WhatsApp,Inquiry,2023-09-27,10,16.0
INT000629,CUST157,WhatsApp,Response,2023-09-11,3,
INT000630,CUST140,Instagram,Follow,2023-09-10,3,
INT000631,CUST109,Tokopedia,Purchase,2023-08-30,4,
INT000632,CUST201,Instagram,Follow,2023-09-17,2,
INT000633,CUST240,Tokopedia,Chat,2023-09-18,7,
INT000634,CUST195,Instagram,Like,2023-09-23,6,
INT000635,CUST218,Instagram,Share,2023-09-01,2,
INT000636,CUST040,Tokopedia,Purchase,2023-09-22,6,
INT000637,CUST015,Instagram,Share,2023-09-03,9,
INT000638,CUST055,Instagram,Comment,2023-09-17,1,
INT000639,CUST159,Instagram,Follow,2023-09-04,1,
INT000640,CUST124,Tokopedia,Review,2023-09-16,10,
INT000641,CUST023,WhatsApp,Order,2023-08-30,1,
INT000642,CUST162,Instagram,Share,2023-08-29,6,
INT000643,CUST145,Tokopedia,Purchase,2023-09-04,6,
INT000644,CUST201,WhatsApp,Inquiry,2023-09-02,2,10.0
INT000645,CUST209,WhatsApp,Feedback,2023-09-01,9,
INT000646,CUST077,Instagram,Follow,2023-09-23,7,
INT000647,CUST245,WhatsApp,Message,2023-09-07,3,4.0
INT000648,CUST238,Instagram,Like,2023-09-20,4,
INT000649,CUST111,WhatsApp,Response,2023-09-22,3,
INT000650,CUST257,WhatsApp,Feedback,2023-09-18,9,
INT000651,CUST175,Tokopedia,Rating,2023-09-08,5,
INT000652,CUST185,WhatsApp,Order,2023-08-30,7,
INT000653,CUST123,Instagram,Follow,2023-09-17,2,
INT000654,CUST079,WhatsApp,Order,2023-09-01,1,
INT000655,CUST074,Tokopedia,Purchase,2023-09-25,2,
INT000656,CUST256,Instagram,Save,2023-09-08,3,
INT000657,CUST152,Instagram,Like,2023-09-06,10,
INT000658,CUST187,Tokopedia,Review,2023-08-31,3,
INT000659,CUST236,Tokopedia,Wishlist,2023-09-06,8,
INT000660,CUST072,Instagram,Follow,2023-09-13,1,
INT000661,CUST187,Tokopedia,Wishlist,2023-09-11,10,
INT000662,CUST067,Tokopedia,Chat,2023-09-14,10,
INT000663,CUST161,Tokopedia,Review,2023-09-19,7,
INT000664,CUST260,Tokopedia,Chat,2023-09-26,1,
INT000665,CUST030,WhatsApp,Response,2023-09-20,9,
INT000666,CUST005,Instagram,Like,2023-09-07,7,
INT000667,CUST082,WhatsApp,Order,2023-09-25,2,
INT000668,CUST115,Tokopedia,Wishlist,2023-09-19,2,
INT000669,CUST179,Tokopedia,Wishlist,2023-09-18,9,
INT000670,CUST239,Instagram,Like,2023-09-03,2,
INT000671,CUST204,Tokopedia,Rating,2023-09-10,6,
INT000672,CUST034,Tokopedia,Chat,2023-09-17,8,
INT000673,CUST109,WhatsApp,Order,2023-09-01,5,
INT000674,CUST233,Instagram,Follow,2023-09-02,8,
INT000675,CUST075,WhatsApp,Response,2023-09-08,10,
INT000676,CUST017,WhatsApp,Order,2023-08-30,6,
INT000677,CUST221,Tokopedia,Rating,2023-08-30,4,
INT000678,CUST012,WhatsApp,Order,2023-09-06,5,
INT000679,CUST091,Instagram,Comment,2023-08-31,5,
INT000680,CUST208,Instagram,Share,2023-09-25,8,
INT000681,CUST215,WhatsApp,Response,2023-09-19,5,
INT000682,CUST095,Instagram,Like,2023-09-26,7,
INT000683,CUST176,Tokopedia,Rating,2023-09-04,6,
INT000684,CUST215,Tokopedia,Wishlist,2023-09-15,3,
INT000685,CUST224,Tokopedia,Purchase,2023-09-10,1,
INT000686,CUST288,WhatsApp,Response,2023-08-31,10,
INT000687,CUST075,Tokopedia,Chat,2023-08-29,3,
INT000688,CUST235,Instagram,Save,2023-09-25,6,
INT000689,CUST059,WhatsApp,Order,2023-09-06,9,
INT000690,CUST002,Tokopedia,Rating,2023-09-18,8,
INT000691,CUST297,Instagram,Like,2023-09-04,4,
INT000692,CUST216,WhatsApp,Feedback,2023-09-22,3,
INT000693,CUST194,Instagram,Share,2023-09-04,4,
INT000694,CUST296,Instagram,Share,2023-09-24,6,
INT000695,CUST009,Tokopedia,Chat,2023-09-14,2,
INT000696,CUST256,WhatsApp,Order,2023-09-11,7,
INT000697,CUST181,Tokopedia,Purchase,2023-09-11,9,
INT000698,CUST172,Instagram,Comment,2023-09-12,7,
INT000699,CUST192,Instagram,Follow,2023-09-17,3,
INT000700,CUST278,Tokopedia,Wishlist,2023-09-07,7,
INT000701,CUST146,WhatsApp,Feedback,2023-09-27,2,
INT000702,CUST045,Instagram,Like,2023-09-18,1,
INT000703,CUST211,Instagram,Save,2023-09-21,10,
INT000704,CUST279,Instagram,Save,2023-09-14,10,
INT000705,CUST017,WhatsApp,Inquiry,2023-09-25,7,6.0
INT000706,CUST115,Tokopedia,Purchase,2023-09-10,2,
INT000707,CUST101,Tokopedia,Review,2023-09-09,8,
INT000708,CUST212,WhatsApp,Order,2023-08-29,6,
INT000709,CUST115,WhatsApp,Inquiry,2023-09-06,5,9.0
INT000710,CUST124,Instagram,Save,2023-09-29,1,
INT000711,CUST014,Instagram,Share,2023-10-24,9,
INT000712,CUST163,Tokopedia,Rating,2023-10-16,7,
INT000713,CUST124,WhatsApp,Order,2023-10-04,10,
INT000714,CUST202,Instagram,Follow,2023-10-11,3,
INT000715,CUST200,WhatsApp,Response,2023-10-10,6,
INT000716,CUST265,Instagram,Save,2023-10-05,2,
INT000717,CUST065,WhatsApp,Message,2023-10-18,10,12.0
INT000718,CUST134,WhatsApp,Response,2023-10-08,4,
INT000719,CUST048,Instagram,Like,2023-10-11,1,
INT000720,CUST079,Instagram,Follow,2023-10-20,9,
INT000721,CUST041,WhatsApp,Order,2023-09-28,3,
INT000722,CUST233,WhatsApp,Inquiry,2023-10-03,4,20.0
INT000723,CUST114,Tokopedia,Rating,2023-10-15,4,
INT000724,CUST194,Tokopedia,Review,2023-10-06,2,
INT000725,CUST074,WhatsApp,Message,2023-10-18,10,3.0
INT000726,CUST057,Tokopedia,Purchase,2023-10-01,2,
INT000727,CUST073,Tokopedia,Chat,2023-10-26,3,
INT000728,CUST048,Instagram,Save,2023-10-25,6,
INT000729,CUST107,Tokopedia,Review,2023-10-13,1,
INT000730,CUST212,Instagram,Save,2023-10-18,2,
INT000731,CUST108,WhatsApp,Order,2023-10-10,6,
INT000732,CUST231,Instagram,Comment,2023-10-07,1,
INT000733,CUST092,WhatsApp,Feedback,2023-10-18,10,
INT000734,CUST017,Instagram,Share,2023-10-09,8,
INT000735,CUST280,Instagram,Comment,2023-10-14,5,
INT000736,CUST063,Instagram,Follow,2023-09-28,9,
INT000737,CUST012,WhatsApp,Feedback,2023-10-22,3,
INT000738,CUST111,Tokopedia,Review,2023-10-26,4,
INT000739,CUST016,Tokopedia,Rating,2023-10-05,2,
INT000740,CUST065,Tokopedia,Chat,2023-10-13,4,
INT000741,CUST048,Tokopedia,Purchase,2023-10-18,5,
INT000742,CUST240,WhatsApp,Order,2023-10-11,9,
INT000743,CUST205,Instagram,Share,2023-10-03,4,
INT000744,CUST144,Tokopedia,Review,2023-10-16,10,
INT000745,CUST160,Instagram,Comment,2023-10-21,8,
INT000746,CUST222,Tokopedia,Wishlist,2023-10-17,5,
INT000747,CUST164,WhatsApp,Message,2023-10-17,7,13.0
INT000748,CUST103,WhatsApp,Inquiry,2023-10-09,2,14.0
INT000749,CUST086,Instagram,Follow,2023-10-06,10,
INT000750,CUST210,Tokopedia,Purchase,2023-10-24,9,
INT000751,CUST181,Tokopedia,Review,2023-10-01,3,
INT000752,CUST166,Tokopedia,Rating,2023-10-09,4,
INT000753,CUST038,Instagram,Share,2023-10-09,3,
INT000754,CUST161,Instagram,Like,2023-10-08,1,
INT000755,CUST169,Instagram,Save,2023-10-16,6,
INT000756,CUST120,WhatsApp,Message,2023-10-10,5,19.0
INT000757,CUST109,WhatsApp,Response,2023-10-01,9,
INT000758,CUST143,WhatsApp,Feedback,2023-10-26,2,
INT000759,CUST294,WhatsApp,Order,2023-10-19,7,
INT000760,CUST163,Tokopedia,Rating,2023-10-04,1,
INT000761,CUST253,Tokopedia,Review,2023-10-06,7,
INT000762,CUST062,Instagram,Save,2023-10-03,10,
INT000763,CUST168,WhatsApp,Order,2023-10-05,10,
INT000764,CUST011,Tokopedia,Review,2023-10-18,10,
INT000765,CUST003,Tokopedia,Chat,2023-10-02,7,
INT000766,CUST019,WhatsApp,Feedback,2023-09-29,6,
INT000767,CUST009,Instagram,Save,2023-10-01,7,
INT000768,CUST155,Tokopedia,Chat,2023-10-22,6,
INT000769,CUST205,Instagram,Follow,2023-10-22,6,
INT000770,CUST253,WhatsApp,Message,2023-10-10,5,22.0
INT000771,CUST233,Tokopedia,Review,2023-10-24,6,
INT000772,CUST053,Instagram,Comment,2023-09-29,1,
INT000773,CUST072,Instagram,Share,2023-10-25,7,
INT000774,CUST116,Instagram,Like,2023-10-04,6,
INT000775,CUST276,Instagram,Like,2023-10-06,1,
INT000776,CUST057,Instagram,Share,2023-09-30,5,
INT000777,CUST169,WhatsApp,Feedback,2023-10-23,7,
INT000778,CUST139,WhatsApp,Response,2023-10-27,3,
INT000779,CUST299,Tokopedia,Review,2023-10-02,6,
INT000780,CUST076,WhatsApp,Order,2023-10-18,8,
INT000781,CUST063,WhatsApp,Feedback,2023-10-05,10,
INT000782,CUST245,WhatsApp,Order,2023-10-06,6,
INT000783,CUST248,Instagram,Like,2023-10-06,5,
INT000784,CUST043,Tokopedia,Purchase,2023-10-24,4,
INT000785,CUST106,WhatsApp,Message,2023-09-30,8,1.0
INT000786,CUST109,Instagram,Comment,2023-10-12,7,
INT000787,CUST097,Tokopedia,Review,2023-10-08,4,
INT000788,CUST271,WhatsApp,Inquiry,2023-10-22,5,22.0
INT000789,CUST233,WhatsApp,Response,2023-10-25,9,
INT000790,CUST055,Instagram,Comment,2023-10-27,6,
INT000791,CUST198,Tokopedia,Purchase,2023-10-14,4,
INT000792,CUST205,Instagram,Like,2023-10-06,7,
INT000793,CUST085,WhatsApp,Inquiry,2023-10-25,10,20.0
INT000794,CUST053,Instagram,Save,2023-10-26,2,
INT000795,CUST057,Instagram,Like,2023-10-26,8,
INT000796,CUST096,Tokopedia,Review,2023-10-13,9,
INT000797,CUST232,Tokopedia,Chat,2023-10-01,9,
INT000798,CUST044,Tokopedia,Wishlist,2023-10-04,3,
INT000799,CUST204,WhatsApp,Order,2023-10-14,6,
INT000800,CUST028,Tokopedia,Chat,2023-10-09,2,
INT000801,CUST026,WhatsApp,Order,2023-10-21,7,
INT000802,CUST100,Tokopedia,Rating,2023-10-10,3,
INT000803,CUST142,WhatsApp,Feedback,2023-10-13,9,
INT000804,CUST222,Instagram,Like,2023-10-18,4,
INT000805,CUST057,Instagram,Like,2023-09-29,1,
INT000806,CUST295,Tokopedia,Rating,2023-09-30,9,
INT000807,CUST052,Tokopedia,Rating,2023-10-26,10,
INT000808,CUST208,Tokopedia,Wishlist,2023-10-01,4,
INT000809,CUST138,Tokopedia,Rating,2023-10-03,4,
INT000810,CUST178,WhatsApp,Inquiry,2023-10-20,10,9.0
INT000811,CUST002,Instagram,Comment,2023-10-14,10,
INT000812,CUST245,WhatsApp,Inquiry,2023-10-25,4,5.0
INT000813,CUST162,WhatsApp,Message,2023-10-03,3,10.0
INT000814,CUST234,Instagram,Like,2023-10-19,8,
INT000815,CUST220,Tokopedia,Review,2023-10-03,5,
INT000816,CUST040,Instagram,Like,2023-10-17,6,
INT000817,CUST243,WhatsApp,Message,2023-10-13,4,15.0
INT000818,CUST057,Instagram,Like,2023-10-16,5,
INT000819,CUST117,WhatsApp,Feedback,2023-10-03,3,
INT000820,CUST049,Instagram,Share,2023-10-23,6,
INT000821,CUST232,Tokopedia,Chat,2023-10-15,5,
INT000822,CUST250,Tokopedia,Chat,2023-10-12,1,
INT000823,CUST181,Tokopedia,Chat,2023-10-26,9,
INT000824,CUST248,Instagram,Share,2023-10-19,9,
INT000825,CUST011,Instagram,Save,2023-10-25,4,
INT000826,CUST073,Tokopedia,Wishlist,2023-09-28,4,
INT000827,CUST296,WhatsApp,Order,2023-10-09,4,
INT000828,CUST046,Instagram,Save,2023-10-18,2,
INT000829,CUST141,WhatsApp,Feedback,2023-10-26,8,
INT000830,CUST270,Instagram,Share,2023-10-27,6,
INT000831,CUST170,Tokopedia,Purchase,2023-10-11,5,
INT000832,CUST159,Instagram,Like,2023-10-16,9,
INT000833,CUST176,WhatsApp,Message,2023-10-11,8,18.0
INT000834,CUST178,Tokopedia,Review,2023-09-28,8,
INT000835,CUST076,Tokopedia,Rating,2023-10-14,5,
INT000836,CUST286,WhatsApp,Response,2023-10-07,8,
INT000837,CUST148,Instagram,Share,2023-09-28,8,
INT000838,CUST021,Instagram,Share,2023-10-24,10,
INT000839,CUST064,Instagram,Save,2023-10-07,1,
INT000840,CUST221,Tokopedia,Review,2023-09-29,5,
INT000841,CUST071,Tokopedia,Chat,2023-10-23,9,
INT000842,CUST288,Instagram,Like,2023-10-20,5,
INT000843,CUST074,WhatsApp,Response,2023-10-11,10,
INT000844,CUST042,Tokopedia,Rating,2023-09-29,8,
INT000845,CUST182,Instagram,Save,2023-10-11,7,
INT000846,CUST051,Tokopedia,Chat,2023-10-17,5,
INT000847,CUST089,WhatsApp,Order,2023-10-19,6,
INT000848,CUST297,Instagram,Comment,2023-10-06,3,
INT000849,CUST214,WhatsApp,Response,2023-10-07,5,
INT000850,CUST044,Tokopedia,Purchase,2023-10-27,8,
INT000851,CUST280,Instagram,Save,2023-10-23,7,
INT000852,CUST050,Instagram,Follow,2023-10-12,6,
INT000853,CUST258,WhatsApp,Inquiry,2023-10-12,6,13.0
INT000854,CUST239,Tokopedia,Wishlist,2023-10-12,1,
INT000855,CUST287,Instagram,Save,2023-09-30,3,
INT000856,CUST155,Instagram,Follow,2023-10-14,6,
INT000857,CUST066,WhatsApp,Feedback,2023-10-26,10,
INT000858,CUST151,Instagram,Save,2023-10-02,7,
INT000859,CUST004,Tokopedia,Purchase,2023-10-12,1,
INT000860,CUST044,Instagram,Share,2023-10-24,2,
INT000861,CUST171,WhatsApp,Message,2023-10-24,5,18.0
INT000862,CUST247,WhatsApp,Inquiry,2023-10-25,1,3.0
INT000863,CUST300,WhatsApp,Feedback,2023-11-20,1,
INT000864,CUST105,WhatsApp,Response,2023-11-14,8,
INT000865,CUST070,Instagram,Comment,2023-11-06,5,
INT000866,CUST004,Tokopedia,Purchase,2023-11-19,4,
INT000867,CUST059,Instagram,Like,2023-11-01,10,
INT000868,CUST062,WhatsApp,Message,2023-11-04,4,3.0
INT000869,CUST243,Instagram,Follow,2023-11-11,7,
INT000870,CUST029,Instagram,Share,2023-11-09,8,
INT000871,CUST095,Instagram,Follow,2023-11-05,10,
INT000872,CUST225,WhatsApp,Feedback,2023-10-31,7,
INT000873,CUST075,WhatsApp,Message,2023-11-02,3,23.0
INT000874,CUST124,Instagram,Follow,2023-11-20,9,
INT000875,CUST103,Tokopedia,Wishlist,2023-11-06,5,
INT000876,CUST052,WhatsApp,Order,2023-11-08,5,
INT000877,CUST201,Tokopedia,Review,2023-11-11,7,
INT000878,CUST218,Instagram,Like,2023-11-06,8,
INT000879,CUST062,WhatsApp,Order,2023-10-28,10,
INT000880,CUST156,Instagram,Follow,2023-11-11,1,
INT000881,CUST182,Instagram,Save,2023-11-25,8,
INT000882,CUST142,Instagram,Comment,2023-11-08,9,
INT000883,CUST258,Instagram,Share,2023-11-25,9,
INT000884,CUST200,WhatsApp,Message,2023-11-02,3,11.0
INT000885,CUST289,Tokopedia,Wishlist,2023-11-19,3,
INT000886,CUST143,WhatsApp,Inquiry,2023-11-26,7,2.0
INT000887,CUST248,Tokopedia,Wishlist,2023-11-16,3,
INT000888,CUST295,WhatsApp,Feedback,2023-11-21,9,
INT000889,CUST133,Instagram,Share,2023-11-15,10,
INT000890,CUST179,WhatsApp,Feedback,2023-11-23,7,
INT000891,CUST035,Instagram,Like,2023-11-24,3,
INT000892,CUST119,Instagram,Like,2023-11-12,8,
INT000893,CUST166,Instagram,Comment,2023-10-31,3,
INT000894,CUST197,Tokopedia,Review,2023-10-29,10,
INT000895,CUST129,Instagram,Like,2023-11-24,2,
INT000896,CUST227,Tokopedia,Purchase,2023-11-17,1,
INT000897,CUST090,Tokopedia,Review,2023-11-19,8,
INT000898,CUST194,Instagram,Follow,2023-11-14,4,
INT000899,CUST101,Tokopedia,Wishlist,2023-11-11,5,
INT000900,CUST116,Instagram,Comment,2023-11-10,9,
INT000901,CUST099,Instagram,Follow,2023-10-28,2,
INT000902,CUST105,Instagram,Comment,2023-11-25,1,
INT000903,CUST185,Tokopedia,Purchase,2023-11-14,2,
INT000904,CUST175,Instagram,Follow,2023-11-12,4,
INT000905,CUST107,WhatsApp,Order,2023-11-13,6,
INT000906,CUST183,WhatsApp,Feedback,2023-11-24,3,
INT000907,CUST035,Tokopedia,Wishlist,2023-11-17,7,
INT000908,CUST037,WhatsApp,Message,2023-11-01,9,9.0
INT000909,CUST052,Instagram,Save,2023-11-04,1,
INT000910,CUST277,Tokopedia,Review,2023-11-04,5,
INT000911,CUST129,Tokopedia,Chat,2023-10-30,3,
INT000912,CUST148,Instagram,Follow,2023-11-15,4,
INT000913,CUST266,WhatsApp,Feedback,2023-11-06,7,
